time,thermal_output,day_of_year,time_of_day
2018-01-01 00:00:00,0.0,1,0.0
2018-01-01 01:00:00,0.0,1,1.0
2018-01-01 02:00:00,0.0,1,2.0
2018-01-01 03:00:00,0.0,1,3.0
2018-01-01 04:00:00,0.0,1,4.0
2018-01-01 05:00:00,2.8401885067448567,1,5.0
2018-01-01 06:00:00,24.29069787577098,1,6.0
2018-01-01 07:00:00,46.902468583919934,1,7.0
2018-01-01 08:00:00,60.69047298695057,1,8.0
2018-01-01 09:00:00,66.58960005568949,1,9.0
2018-01-01 10:00:00,65.74630343329422,1,10.0
2018-01-01 11:00:00,57.10899023935874,1,11.0
2018-01-01 12:00:00,40.239610365964154,1,12.0
2018-01-01 13:00:00,16.710289400760495,1,13.0
2018-01-01 14:00:00,0.0,1,14.0
2018-01-01 15:00:00,0.0,1,15.0
2018-01-01 16:00:00,0.0,1,16.0
2018-01-01 17:00:00,0.0,1,17.0
2018-01-01 18:00:00,0.0,1,18.0
2018-01-01 19:00:00,0.0,1,19.0
2018-01-01 20:00:00,0.0,1,20.0
2018-01-01 21:00:00,0.0,1,21.0
2018-01-01 22:00:00,0.0,1,22.0
2018-01-01 23:00:00,0.0,1,23.0
2018-01-02 00:00:00,0.0,2,0.0
2018-01-02 01:00:00,0.0,2,1.0
2018-01-02 02:00:00,0.0,2,2.0
2018-01-02 03:00:00,0.0,2,3.0
2018-01-02 04:00:00,0.0,2,4.0
2018-01-02 05:00:00,0.9494140686979305,2,5.0
2018-01-02 06:00:00,5.318523878359624,2,6.0
2018-01-02 07:00:00,1.2763181531288554,2,7.0
2018-01-02 08:00:00,17.750188617129936,2,8.0
2018-01-02 09:00:00,10.829627423772951,2,9.0
2018-01-02 10:00:00,12.916799306425613,2,10.0
2018-01-02 11:00:00,37.634392834121925,2,11.0
2018-01-02 12:00:00,36.07193956241748,2,12.0
2018-01-02 13:00:00,15.387040130566024,2,13.0
2018-01-02 14:00:00,0.030265964534951086,2,14.0
2018-01-02 15:00:00,0.0,2,15.0
2018-01-02 16:00:00,0.0,2,16.0
2018-01-02 17:00:00,0.0,2,17.0
2018-01-02 18:00:00,0.0,2,18.0
2018-01-02 19:00:00,0.0,2,19.0
2018-01-02 20:00:00,0.0,2,20.0
2018-01-02 21:00:00,0.0,2,21.0
2018-01-02 22:00:00,0.0,2,22.0
2018-01-02 23:00:00,0.0,2,23.0
2018-01-03 00:00:00,0.0,3,0.0
2018-01-03 01:00:00,0.0,3,1.0
2018-01-03 02:00:00,0.0,3,2.0
2018-01-03 03:00:00,0.0,3,3.0
2018-01-03 04:00:00,0.0,3,4.0
2018-01-03 05:00:00,2.6891295156394097,3,5.0
2018-01-03 06:00:00,23.87899373603518,3,6.0
2018-01-03 07:00:00,46.54294316299982,3,7.0
2018-01-03 08:00:00,60.14771461138412,3,8.0
2018-01-03 09:00:00,65.87753626095652,3,9.0
2018-01-03 10:00:00,65.3125117905791,3,10.0
2018-01-03 11:00:00,56.637365488452296,3,11.0
2018-01-03 12:00:00,39.78559240012131,3,12.0
2018-01-03 13:00:00,16.657131402752714,3,13.0
2018-01-03 14:00:00,0.12445912540839765,3,14.0
2018-01-03 15:00:00,0.0,3,15.0
2018-01-03 16:00:00,0.0,3,16.0
2018-01-03 17:00:00,0.0,3,17.0
2018-01-03 18:00:00,0.0,3,18.0
2018-01-03 19:00:00,0.0,3,19.0
2018-01-03 20:00:00,0.0,3,20.0
2018-01-03 21:00:00,0.0,3,21.0
2018-01-03 22:00:00,0.0,3,22.0
2018-01-03 23:00:00,0.0,3,23.0
2018-01-04 00:00:00,0.0,4,0.0
2018-01-04 01:00:00,0.0,4,1.0
2018-01-04 02:00:00,0.0,4,2.0
2018-01-04 03:00:00,0.0,4,3.0
2018-01-04 04:00:00,0.0,4,4.0
2018-01-04 05:00:00,2.6079562759971653,4,5.0
2018-01-04 06:00:00,23.68235641406383,4,6.0
2018-01-04 07:00:00,46.639393552689086,4,7.0
2018-01-04 08:00:00,59.97063212075687,4,8.0
2018-01-04 09:00:00,65.98859266708793,4,9.0
2018-01-04 10:00:00,65.27591632210397,4,10.0
2018-01-04 11:00:00,56.79306445961541,4,11.0
2018-01-04 12:00:00,40.19114309021614,4,12.0
2018-01-04 13:00:00,17.07283136338234,4,13.0
2018-01-04 14:00:00,0.22561935556337034,4,14.0
2018-01-04 15:00:00,0.0,4,15.0
2018-01-04 16:00:00,0.0,4,16.0
2018-01-04 17:00:00,0.0,4,17.0
2018-01-04 18:00:00,0.0,4,18.0
2018-01-04 19:00:00,0.0,4,19.0
2018-01-04 20:00:00,0.0,4,20.0
2018-01-04 21:00:00,0.0,4,21.0
2018-01-04 22:00:00,0.0,4,22.0
2018-01-04 23:00:00,0.0,4,23.0
2018-01-05 00:00:00,0.0,5,0.0
2018-01-05 01:00:00,0.0,5,1.0
2018-01-05 02:00:00,0.0,5,2.0
2018-01-05 03:00:00,0.0,5,3.0
2018-01-05 04:00:00,0.0,5,4.0
2018-01-05 05:00:00,1.7248595617686575,5,5.0
2018-01-05 06:00:00,13.942532059523767,5,6.0
2018-01-05 07:00:00,29.312394512311723,5,7.0
2018-01-05 08:00:00,43.45651860359432,5,8.0
2018-01-05 09:00:00,58.438915989111216,5,9.0
2018-01-05 10:00:00,58.04960448817351,5,10.0
2018-01-05 11:00:00,57.46256057385369,5,11.0
2018-01-05 12:00:00,40.62156501071892,5,12.0
2018-01-05 13:00:00,17.465620292749076,5,13.0
2018-01-05 14:00:00,0.330940339407374,5,14.0
2018-01-05 15:00:00,0.0,5,15.0
2018-01-05 16:00:00,0.0,5,16.0
2018-01-05 17:00:00,0.0,5,17.0
2018-01-05 18:00:00,0.0,5,18.0
2018-01-05 19:00:00,0.0,5,19.0
2018-01-05 20:00:00,0.0,5,20.0
2018-01-05 21:00:00,0.0,5,21.0
2018-01-05 22:00:00,0.0,5,22.0
2018-01-05 23:00:00,0.0,5,23.0
2018-01-06 00:00:00,0.0,6,0.0
2018-01-06 01:00:00,0.0,6,1.0
2018-01-06 02:00:00,0.0,6,2.0
2018-01-06 03:00:00,0.0,6,3.0
2018-01-06 04:00:00,0.0,6,4.0
2018-01-06 05:00:00,2.5584676174809746,6,5.0
2018-01-06 06:00:00,23.680416852960366,6,6.0
2018-01-06 07:00:00,46.17841880595986,6,7.0
2018-01-06 08:00:00,60.24500307548814,6,8.0
2018-01-06 09:00:00,66.34787645791597,6,9.0
2018-01-06 10:00:00,65.60389301718516,6,10.0
2018-01-06 11:00:00,56.876044248261614,6,11.0
2018-01-06 12:00:00,40.486153670277346,6,12.0
2018-01-06 13:00:00,17.403458046470824,6,13.0
2018-01-06 14:00:00,0.42286407995189645,6,14.0
2018-01-06 15:00:00,0.0,6,15.0
2018-01-06 16:00:00,0.0,6,16.0
2018-01-06 17:00:00,0.0,6,17.0
2018-01-06 18:00:00,0.0,6,18.0
2018-01-06 19:00:00,0.0,6,19.0
2018-01-06 20:00:00,0.0,6,20.0
2018-01-06 21:00:00,0.0,6,21.0
2018-01-06 22:00:00,0.0,6,22.0
2018-01-06 23:00:00,0.0,6,23.0
2018-01-07 00:00:00,0.0,7,0.0
2018-01-07 01:00:00,0.0,7,1.0
2018-01-07 02:00:00,0.0,7,2.0
2018-01-07 03:00:00,0.0,7,3.0
2018-01-07 04:00:00,0.0,7,4.0
2018-01-07 05:00:00,2.4480660986251412,7,5.0
2018-01-07 06:00:00,22.64680722541272,7,6.0
2018-01-07 07:00:00,44.901475427207245,7,7.0
2018-01-07 08:00:00,60.47908855733196,7,8.0
2018-01-07 09:00:00,67.22165672685787,7,9.0
2018-01-07 10:00:00,62.98009973366376,7,10.0
2018-01-07 11:00:00,55.43490799200511,7,11.0
2018-01-07 12:00:00,32.35117718036785,7,12.0
2018-01-07 13:00:00,13.639093393802602,7,13.0
2018-01-07 14:00:00,0.4012445988641447,7,14.0
2018-01-07 15:00:00,0.0,7,15.0
2018-01-07 16:00:00,0.0,7,16.0
2018-01-07 17:00:00,0.0,7,17.0
2018-01-07 18:00:00,0.0,7,18.0
2018-01-07 19:00:00,0.0,7,19.0
2018-01-07 20:00:00,0.0,7,20.0
2018-01-07 21:00:00,0.0,7,21.0
2018-01-07 22:00:00,0.0,7,22.0
2018-01-07 23:00:00,0.0,7,23.0
2018-01-08 00:00:00,0.0,8,0.0
2018-01-08 01:00:00,0.0,8,1.0
2018-01-08 02:00:00,0.0,8,2.0
2018-01-08 03:00:00,0.0,8,3.0
2018-01-08 04:00:00,0.0,8,4.0
2018-01-08 05:00:00,2.360631144615397,8,5.0
2018-01-08 06:00:00,23.033915609790373,8,6.0
2018-01-08 07:00:00,46.32887257227224,8,7.0
2018-01-08 08:00:00,60.804531728950366,8,8.0
2018-01-08 09:00:00,67.13313236553059,8,9.0
2018-01-08 10:00:00,66.98497650429583,8,10.0
2018-01-08 11:00:00,58.51855801837412,8,11.0
2018-01-08 12:00:00,41.50883783646635,8,12.0
2018-01-08 13:00:00,18.17289994168363,8,13.0
2018-01-08 14:00:00,0.6457786945963155,8,14.0
2018-01-08 15:00:00,0.0,8,15.0
2018-01-08 16:00:00,0.0,8,16.0
2018-01-08 17:00:00,0.0,8,17.0
2018-01-08 18:00:00,0.0,8,18.0
2018-01-08 19:00:00,0.0,8,19.0
2018-01-08 20:00:00,0.0,8,20.0
2018-01-08 21:00:00,0.0,8,21.0
2018-01-08 22:00:00,0.0,8,22.0
2018-01-08 23:00:00,0.0,8,23.0
2018-01-09 00:00:00,0.0,9,0.0
2018-01-09 01:00:00,0.0,9,1.0
2018-01-09 02:00:00,0.0,9,2.0
2018-01-09 03:00:00,0.0,9,3.0
2018-01-09 04:00:00,0.0,9,4.0
2018-01-09 05:00:00,2.388428763128981,9,5.0
2018-01-09 06:00:00,23.30119561901616,9,6.0
2018-01-09 07:00:00,46.27602439897067,9,7.0
2018-01-09 08:00:00,59.6944960019409,9,8.0
2018-01-09 09:00:00,66.8750169612394,9,9.0
2018-01-09 10:00:00,66.49880640004505,9,10.0
2018-01-09 11:00:00,58.17776826238364,9,11.0
2018-01-09 12:00:00,41.61169629679158,9,12.0
2018-01-09 13:00:00,18.37165336465775,9,13.0
2018-01-09 14:00:00,0.7448495525563762,9,14.0
2018-01-09 15:00:00,0.0,9,15.0
2018-01-09 16:00:00,0.0,9,16.0
2018-01-09 17:00:00,0.0,9,17.0
2018-01-09 18:00:00,0.0,9,18.0
2018-01-09 19:00:00,0.0,9,19.0
2018-01-09 20:00:00,0.0,9,20.0
2018-01-09 21:00:00,0.0,9,21.0
2018-01-09 22:00:00,0.0,9,22.0
2018-01-09 23:00:00,0.0,9,23.0
2018-01-10 00:00:00,0.0,10,0.0
2018-01-10 01:00:00,0.0,10,1.0
2018-01-10 02:00:00,0.0,10,2.0
2018-01-10 03:00:00,0.0,10,3.0
2018-01-10 04:00:00,0.0,10,4.0
2018-01-10 05:00:00,2.4349724531285895,10,5.0
2018-01-10 06:00:00,23.893606819565836,10,6.0
2018-01-10 07:00:00,47.84723915897205,10,7.0
2018-01-10 08:00:00,62.60876025441654,10,8.0
2018-01-10 09:00:00,69.2859595039477,10,9.0
2018-01-10 10:00:00,68.94483479111246,10,10.0
2018-01-10 11:00:00,60.51188099451648,10,11.0
2018-01-10 12:00:00,43.5606224611172,10,12.0
2018-01-10 13:00:00,19.53473334542894,10,13.0
2018-01-10 14:00:00,0.8979271830839314,10,14.0
2018-01-10 15:00:00,0.0,10,15.0
2018-01-10 16:00:00,0.0,10,16.0
2018-01-10 17:00:00,0.0,10,17.0
2018-01-10 18:00:00,0.0,10,18.0
2018-01-10 19:00:00,0.0,10,19.0
2018-01-10 20:00:00,0.0,10,20.0
2018-01-10 21:00:00,0.0,10,21.0
2018-01-10 22:00:00,0.0,10,22.0
2018-01-10 23:00:00,0.0,10,23.0
2018-01-11 00:00:00,0.0,11,0.0
2018-01-11 01:00:00,0.0,11,1.0
2018-01-11 02:00:00,0.0,11,2.0
2018-01-11 03:00:00,0.0,11,3.0
2018-01-11 04:00:00,0.0,11,4.0
2018-01-11 05:00:00,2.5114098284896813,11,5.0
2018-01-11 06:00:00,24.690605952281512,11,6.0
2018-01-11 07:00:00,48.67924145880187,11,7.0
2018-01-11 08:00:00,63.86766123771613,11,8.0
2018-01-11 09:00:00,70.70714503644014,11,9.0
2018-01-11 10:00:00,70.44658643105636,11,10.0
2018-01-11 11:00:00,61.86132662624056,11,11.0
2018-01-11 12:00:00,44.61646854962098,11,12.0
2018-01-11 13:00:00,20.220190513491715,11,13.0
2018-01-11 14:00:00,1.037740850257799,11,14.0
2018-01-11 15:00:00,0.0,11,15.0
2018-01-11 16:00:00,0.0,11,16.0
2018-01-11 17:00:00,0.0,11,17.0
2018-01-11 18:00:00,0.0,11,18.0
2018-01-11 19:00:00,0.0,11,19.0
2018-01-11 20:00:00,0.0,11,20.0
2018-01-11 21:00:00,0.0,11,21.0
2018-01-11 22:00:00,0.0,11,22.0
2018-01-11 23:00:00,0.0,11,23.0
2018-01-12 00:00:00,0.0,12,0.0
2018-01-12 01:00:00,0.0,12,1.0
2018-01-12 02:00:00,0.0,12,2.0
2018-01-12 03:00:00,0.0,12,3.0
2018-01-12 04:00:00,0.0,12,4.0
2018-01-12 05:00:00,2.4559618710941478,12,5.0
2018-01-12 06:00:00,24.576216606012835,12,6.0
2018-01-12 07:00:00,48.64273646927655,12,7.0
2018-01-12 08:00:00,64.17035981416223,12,8.0
2018-01-12 09:00:00,71.33752444777299,12,9.0
2018-01-12 10:00:00,71.25186496682446,12,10.0
2018-01-12 11:00:00,62.74510977603387,12,11.0
2018-01-12 12:00:00,45.49306451035775,12,12.0
2018-01-12 13:00:00,20.876544402431733,12,13.0
2018-01-12 14:00:00,1.1810768413201904,12,14.0
2018-01-12 15:00:00,0.0,12,15.0
2018-01-12 16:00:00,0.0,12,16.0
2018-01-12 17:00:00,0.0,12,17.0
2018-01-12 18:00:00,0.0,12,18.0
2018-01-12 19:00:00,0.0,12,19.0
2018-01-12 20:00:00,0.0,12,20.0
2018-01-12 21:00:00,0.0,12,21.0
