Day,Hour,Annual thermal energy in Year 1 (kWt),Datetime
1,0,0.0,2018-01-01 00:00:00
1,1,0.0,2018-01-01 01:00:00
1,2,0.0,2018-01-01 02:00:00
1,3,0.0,2018-01-01 03:00:00
1,4,0.0,2018-01-01 04:00:00
1,5,0.0,2018-01-01 05:00:00
1,6,53658.2,2018-01-01 06:00:00
1,7,69977.5,2018-01-01 07:00:00
1,8,66226.5,2018-01-01 08:00:00
1,9,70434.7,2018-01-01 09:00:00
1,10,73733.1,2018-01-01 10:00:00
1,11,58026.0,2018-01-01 11:00:00
1,12,23352.8,2018-01-01 12:00:00
1,13,8426.69,2018-01-01 13:00:00
1,14,0.0,2018-01-01 14:00:00
1,15,0.0,2018-01-01 15:00:00
1,16,0.0,2018-01-01 16:00:00
1,17,0.0,2018-01-01 17:00:00
1,18,0.0,2018-01-01 18:00:00
1,19,0.0,2018-01-01 19:00:00
1,20,0.0,2018-01-01 20:00:00
1,21,0.0,2018-01-01 21:00:00
1,22,0.0,2018-01-01 22:00:00
1,23,0.0,2018-01-01 23:00:00
2,0,0.0,2018-01-02 00:00:00
2,1,0.0,2018-01-02 01:00:00
2,2,0.0,2018-01-02 02:00:00
2,3,0.0,2018-01-02 03:00:00
2,4,0.0,2018-01-02 04:00:00
2,5,0.0,2018-01-02 05:00:00
2,6,0.0,2018-01-02 06:00:00
2,7,0.0,2018-01-02 07:00:00
2,8,24644.4,2018-01-02 08:00:00
2,9,39552.1,2018-01-02 09:00:00
2,10,43976.8,2018-01-02 10:00:00
2,11,35156.7,2018-01-02 11:00:00
2,12,22019.5,2018-01-02 12:00:00
2,13,7786.93,2018-01-02 13:00:00
2,14,0.0,2018-01-02 14:00:00
2,15,0.0,2018-01-02 15:00:00
2,16,0.0,2018-01-02 16:00:00
2,17,0.0,2018-01-02 17:00:00
2,18,0.0,2018-01-02 18:00:00
2,19,0.0,2018-01-02 19:00:00
2,20,0.0,2018-01-02 20:00:00
2,21,0.0,2018-01-02 21:00:00
2,22,0.0,2018-01-02 22:00:00
2,23,0.0,2018-01-02 23:00:00
3,0,0.0,2018-01-03 00:00:00
3,1,0.0,2018-01-03 01:00:00
3,2,0.0,2018-01-03 02:00:00
3,3,0.0,2018-01-03 03:00:00
3,4,0.0,2018-01-03 04:00:00
3,5,0.0,2018-01-03 05:00:00
3,6,43613.6,2018-01-03 06:00:00
3,7,68091.4,2018-01-03 07:00:00
3,8,64569.3,2018-01-03 08:00:00
3,9,74244.3,2018-01-03 09:00:00
3,10,76529.7,2018-01-03 10:00:00
3,11,62069.7,2018-01-03 11:00:00
3,12,23303.5,2018-01-03 12:00:00
3,13,8361.81,2018-01-03 13:00:00
3,14,0.0,2018-01-03 14:00:00
3,15,0.0,2018-01-03 15:00:00
3,16,0.0,2018-01-03 16:00:00
3,17,0.0,2018-01-03 17:00:00
3,18,0.0,2018-01-03 18:00:00
3,19,0.0,2018-01-03 19:00:00
3,20,0.0,2018-01-03 20:00:00
3,21,0.0,2018-01-03 21:00:00
3,22,0.0,2018-01-03 22:00:00
3,23,0.0,2018-01-03 23:00:00
4,0,0.0,2018-01-04 00:00:00
4,1,0.0,2018-01-04 01:00:00
4,2,0.0,2018-01-04 02:00:00
4,3,0.0,2018-01-04 03:00:00
4,4,0.0,2018-01-04 04:00:00
4,5,0.0,2018-01-04 05:00:00
4,6,56588.9,2018-01-04 06:00:00
4,7,78861.8,2018-01-04 07:00:00
4,8,75109.6,2018-01-04 08:00:00
4,9,78897.2,2018-01-04 09:00:00
4,10,83340.0,2018-01-04 10:00:00
4,11,69866.6,2018-01-04 11:00:00
4,12,23321.5,2018-01-04 12:00:00
4,13,8400.7,2018-01-04 13:00:00
4,14,0.0,2018-01-04 14:00:00
4,15,0.0,2018-01-04 15:00:00
4,16,0.0,2018-01-04 16:00:00
4,17,0.0,2018-01-04 17:00:00
4,18,0.0,2018-01-04 18:00:00
4,19,0.0,2018-01-04 19:00:00
4,20,0.0,2018-01-04 20:00:00
4,21,0.0,2018-01-04 21:00:00
4,22,0.0,2018-01-04 22:00:00
4,23,0.0,2018-01-04 23:00:00
5,0,0.0,2018-01-05 00:00:00
5,1,0.0,2018-01-05 01:00:00
5,2,0.0,2018-01-05 02:00:00
5,3,0.0,2018-01-05 03:00:00
5,4,0.0,2018-01-05 04:00:00
5,5,0.0,2018-01-05 05:00:00
5,6,15206.1,2018-01-05 06:00:00
5,7,48681.3,2018-01-05 07:00:00
5,8,44821.1,2018-01-05 08:00:00
5,9,49037.8,2018-01-05 09:00:00
5,10,49063.1,2018-01-05 10:00:00
5,11,36049.2,2018-01-05 11:00:00
5,12,23028.4,2018-01-05 12:00:00
5,13,8352.23,2018-01-05 13:00:00
5,14,0.0,2018-01-05 14:00:00
5,15,0.0,2018-01-05 15:00:00
5,16,0.0,2018-01-05 16:00:00
5,17,0.0,2018-01-05 17:00:00
5,18,0.0,2018-01-05 18:00:00
5,19,0.0,2018-01-05 19:00:00
5,20,0.0,2018-01-05 20:00:00
5,21,0.0,2018-01-05 21:00:00
5,22,0.0,2018-01-05 22:00:00
5,23,0.0,2018-01-05 23:00:00
6,0,0.0,2018-01-06 00:00:00
6,1,0.0,2018-01-06 01:00:00
6,2,0.0,2018-01-06 02:00:00
6,3,0.0,2018-01-06 03:00:00
6,4,0.0,2018-01-06 04:00:00
6,5,0.0,2018-01-06 05:00:00
6,6,12443.7,2018-01-06 06:00:00
6,7,58140.3,2018-01-06 07:00:00
6,8,55834.3,2018-01-06 08:00:00
6,9,55039.2,2018-01-06 09:00:00
6,10,53975.5,2018-01-06 10:00:00
6,11,38931.9,2018-01-06 11:00:00
6,12,23383.7,2018-01-06 12:00:00
6,13,8471.2,2018-01-06 13:00:00
6,14,0.0,2018-01-06 14:00:00
6,15,0.0,2018-01-06 15:00:00
6,16,0.0,2018-01-06 16:00:00
6,17,0.0,2018-01-06 17:00:00
6,18,0.0,2018-01-06 18:00:00
6,19,0.0,2018-01-06 19:00:00
6,20,0.0,2018-01-06 20:00:00
6,21,0.0,2018-01-06 21:00:00
6,22,0.0,2018-01-06 22:00:00
6,23,0.0,2018-01-06 23:00:00
7,0,0.0,2018-01-07 00:00:00
7,1,0.0,2018-01-07 01:00:00
7,2,0.0,2018-01-07 02:00:00
7,3,0.0,2018-01-07 03:00:00
7,4,0.0,2018-01-07 04:00:00
7,5,0.0,2018-01-07 05:00:00
7,6,0.0,2018-01-07 06:00:00
7,7,36031.7,2018-01-07 07:00:00
7,8,56770.6,2018-01-07 08:00:00
7,9,43306.2,2018-01-07 09:00:00
7,10,43782.3,2018-01-07 10:00:00
7,11,35067.1,2018-01-07 11:00:00
7,12,21898.1,2018-01-07 12:00:00
7,13,7722.24,2018-01-07 13:00:00
7,14,0.0,2018-01-07 14:00:00
7,15,0.0,2018-01-07 15:00:00
7,16,0.0,2018-01-07 16:00:00
7,17,0.0,2018-01-07 17:00:00
7,18,0.0,2018-01-07 18:00:00
7,19,0.0,2018-01-07 19:00:00
7,20,0.0,2018-01-07 20:00:00
7,21,0.0,2018-01-07 21:00:00
7,22,0.0,2018-01-07 22:00:00
7,23,0.0,2018-01-07 23:00:00
8,0,0.0,2018-01-08 00:00:00
8,1,0.0,2018-01-08 01:00:00
8,2,0.0,2018-01-08 02:00:00
8,3,0.0,2018-01-08 03:00:00
8,4,0.0,2018-01-08 04:00:00
8,5,0.0,2018-01-08 05:00:00
8,6,2334.37,2018-01-08 06:00:00
8,7,50785.4,2018-01-08 07:00:00
8,8,63041.1,2018-01-08 08:00:00
8,9,65737.6,2018-01-08 09:00:00
8,10,68386.0,2018-01-08 10:00:00
8,11,54854.3,2018-01-08 11:00:00
8,12,23312.1,2018-01-08 12:00:00
8,13,8381.07,2018-01-08 13:00:00
8,14,0.0,2018-01-08 14:00:00
8,15,0.0,2018-01-08 15:00:00
8,16,0.0,2018-01-08 16:00:00
8,17,0.0,2018-01-08 17:00:00
8,18,0.0,2018-01-08 18:00:00
8,19,0.0,2018-01-08 19:00:00
8,20,0.0,2018-01-08 20:00:00
8,21,0.0,2018-01-08 21:00:00
8,22,0.0,2018-01-08 22:00:00
8,23,0.0,2018-01-08 23:00:00
9,0,0.0,2018-01-09 00:00:00
9,1,0.0,2018-01-09 01:00:00
9,2,0.0,2018-01-09 02:00:00
9,3,0.0,2018-01-09 03:00:00
9,4,0.0,2018-01-09 04:00:00
9,5,0.0,2018-01-09 05:00:00
9,6,18139.5,2018-01-09 06:00:00
9,7,62911.7,2018-01-09 07:00:00
9,8,60784.5,2018-01-09 08:00:00
9,9,60903.3,2018-01-09 09:00:00
9,10,62831.3,2018-01-09 10:00:00
9,11,50162.0,2018-01-09 11:00:00
9,12,23342.0,2018-01-09 12:00:00
9,13,8412.37,2018-01-09 13:00:00
9,14,0.0,2018-01-09 14:00:00
9,15,0.0,2018-01-09 15:00:00
9,16,0.0,2018-01-09 16:00:00
9,17,0.0,2018-01-09 17:00:00
9,18,0.0,2018-01-09 18:00:00
9,19,0.0,2018-01-09 19:00:00
9,20,0.0,2018-01-09 20:00:00
9,21,0.0,2018-01-09 21:00:00
9,22,0.0,2018-01-09 22:00:00
9,23,0.0,2018-01-09 23:00:00
10,0,0.0,2018-01-10 00:00:00
10,1,0.0,2018-01-10 01:00:00
10,2,0.0,2018-01-10 02:00:00
10,3,0.0,2018-01-10 03:00:00
10,4,0.0,2018-01-10 04:00:00
10,5,0.0,2018-01-10 05:00:00
10,6,40863.2,2018-01-10 06:00:00
10,7,68874.0,2018-01-10 07:00:00
10,8,66559.4,2018-01-10 08:00:00
10,9,76377.6,2018-01-10 09:00:00
10,10,34603.5,2018-01-10 10:00:00
10,11,64565.6,2018-01-10 11:00:00
10,12,23223.7,2018-01-10 12:00:00
10,13,8420.21,2018-01-10 13:00:00
10,14,0.0,2018-01-10 14:00:00
10,15,0.0,2018-01-10 15:00:00
10,16,0.0,2018-01-10 16:00:00
10,17,0.0,2018-01-10 17:00:00
10,18,0.0,2018-01-10 18:00:00
10,19,0.0,2018-01-10 19:00:00
10,20,0.0,2018-01-10 20:00:00
10,21,0.0,2018-01-10 21:00:00
10,22,0.0,2018-01-10 22:00:00
10,23,0.0,2018-01-10 23:00:00
11,0,0.0,2018-01-11 00:00:00
11,1,0.0,2018-01-11 01:00:00
11,2,0.0,2018-01-11 02:00:00
11,3,0.0,2018-01-11 03:00:00
11,4,0.0,2018-01-11 04:00:00
11,5,0.0,2018-01-11 05:00:00
11,6,77844.3,2018-01-11 06:00:00
11,7,86944.8,2018-01-11 07:00:00
11,8,82518.4,2018-01-11 08:00:00
11,9,83093.8,2018-01-11 09:00:00
11,10,87074.3,2018-01-11 10:00:00
11,11,74583.4,2018-01-11 11:00:00
11,12,39540.9,2018-01-11 12:00:00
11,13,23386.6,2018-01-11 13:00:00
11,14,8480.73,2018-01-11 14:00:00
11,15,0.0,2018-01-11 15:00:00
11,16,0.0,2018-01-11 16:00:00
11,17,0.0,2018-01-11 17:00:00
11,18,0.0,2018-01-11 18:00:00
11,19,0.0,2018-01-11 19:00:00
11,20,0.0,2018-01-11 20:00:00
11,21,0.0,2018-01-11 21:00:00
11,22,0.0,2018-01-11 22:00:00
11,23,0.0,2018-01-11 23:00:00
12,0,0.0,2018-01-12 00:00:00
12,1,0.0,2018-01-12 01:00:00
12,2,0.0,2018-01-12 02:00:00
12,3,0.0,2018-01-12 03:00:00
12,4,0.0,2018-01-12 04:00:00
12,5,2630.16,2018-01-12 05:00:00
12,6,77675.5,2018-01-12 06:00:00
12,7,85215.5,2018-01-12 07:00:00
12,8,81808.7,2018-01-12 08:00:00
12,9,84492.9,2018-01-12 09:00:00
12,10,89119.8,2018-01-12 10:00:00
12,11,77948.2,2018-01-12 11:00:00
12,12,42384.1,2018-01-12 12:00:00
12,13,23368.3,2018-01-12 13:00:00
12,14,8489.12,2018-01-12 14:00:00
12,15,0.0,2018-01-12 15:00:00
12,16,0.0,2018-01-12 16:00:00
12,17,0.0,2018-01-12 17:00:00
12,18,0.0,2018-01-12 18:00:00
12,19,0.0,2018-01-12 19:00:00
12,20,0.0,2018-01-12 20:00:00
12,21,0.0,2018-01-12 21:00:00
12,22,0.0,2018-01-12 22:00:00
12,23,0.0,2018-01-12 23:00:00
13,0,0.0,2018-01-13 00:00:00
13,1,0.0,2018-01-13 01:00:00
13,2,0.0,2018-01-13 02:00:00
13,3,0.0,2018-01-13 03:00:00
13,4,0.0,2018-01-13 04:00:00
13,5,0.0,2018-01-13 05:00:00
13,6,79171.8,2018-01-13 06:00:00
13,7,88527.5,2018-01-13 07:00:00
13,8,84515.8,2018-01-13 08:00:00
13,9,87550.6,2018-01-13 09:00:00
13,10,92207.8,2018-01-13 10:00:00
13,11,80735.9,2018-01-13 11:00:00
13,12,44665.1,2018-01-13 12:00:00
13,13,23329.9,2018-01-13 13:00:00
13,14,8457.71,2018-01-13 14:00:00
13,15,0.0,2018-01-13 15:00:00
13,16,0.0,2018-01-13 16:00:00
13,17,0.0,2018-01-13 17:00:00
13,18,0.0,2018-01-13 18:00:00
13,19,0.0,2018-01-13 19:00:00
13,20,0.0,2018-01-13 20:00:00
13,21,0.0,2018-01-13 21:00:00
13,22,0.0,2018-01-13 22:00:00
13,23,0.0,2018-01-13 23:00:00
14,0,0.0,2018-01-14 00:00:00
14,1,0.0,2018-01-14 01:00:00
14,2,0.0,2018-01-14 02:00:00
14,3,0.0,2018-01-14 03:00:00
14,4,0.0,2018-01-14 04:00:00
14,5,0.0,2018-01-14 05:00:00
14,6,75149.1,2018-01-14 06:00:00
14,7,86165.0,2018-01-14 07:00:00
14,8,82292.3,2018-01-14 08:00:00
14,9,88552.1,2018-01-14 09:00:00
14,10,92640.2,2018-01-14 10:00:00
14,11,80426.0,2018-01-14 11:00:00
14,12,43657.5,2018-01-14 12:00:00
14,13,23341.8,2018-01-14 13:00:00
14,14,8455.66,2018-01-14 14:00:00
14,15,0.0,2018-01-14 15:00:00
14,16,0.0,2018-01-14 16:00:00
14,17,0.0,2018-01-14 17:00:00
14,18,0.0,2018-01-14 18:00:00
14,19,0.0,2018-01-14 19:00:00
14,20,0.0,2018-01-14 20:00:00
14,21,0.0,2018-01-14 21:00:00
14,22,0.0,2018-01-14 22:00:00
14,23,0.0,2018-01-14 23:00:00
15,0,0.0,2018-01-15 00:00:00
15,1,0.0,2018-01-15 01:00:00
15,2,0.0,2018-01-15 02:00:00
15,3,0.0,2018-01-15 03:00:00
15,4,0.0,2018-01-15 04:00:00
15,5,0.0,2018-01-15 05:00:00
15,6,38024.8,2018-01-15 06:00:00
15,7,66571.3,2018-01-15 07:00:00
15,8,63076.0,2018-01-15 08:00:00
15,9,55347.5,2018-01-15 09:00:00
15,10,55412.2,2018-01-15 10:00:00
15,11,43149.7,2018-01-15 11:00:00
15,12,30286.3,2018-01-15 12:00:00
15,13,16420.0,2018-01-15 13:00:00
15,14,0.0,2018-01-15 14:00:00
15,15,0.0,2018-01-15 15:00:00
15,16,0.0,2018-01-15 16:00:00
15,17,0.0,2018-01-15 17:00:00
15,18,0.0,2018-01-15 18:00:00
15,19,0.0,2018-01-15 19:00:00
15,20,0.0,2018-01-15 20:00:00
15,21,0.0,2018-01-15 21:00:00
15,22,0.0,2018-01-15 22:00:00
15,23,0.0,2018-01-15 23:00:00
16,0,0.0,2018-01-16 00:00:00
16,1,0.0,2018-01-16 01:00:00
16,2,0.0,2018-01-16 02:00:00
16,3,0.0,2018-01-16 03:00:00
16,4,0.0,2018-01-16 04:00:00
16,5,0.0,2018-01-16 05:00:00
16,6,40175.0,2018-01-16 06:00:00
16,7,67382.5,2018-01-16 07:00:00
16,8,64640.8,2018-01-16 08:00:00
16,9,65700.7,2018-01-16 09:00:00
16,10,68005.8,2018-01-16 10:00:00
16,11,56914.8,2018-01-16 11:00:00
16,12,34313.2,2018-01-16 12:00:00
16,13,20994.1,2018-01-16 13:00:00
16,14,7270.23,2018-01-16 14:00:00
16,15,0.0,2018-01-16 15:00:00
16,16,0.0,2018-01-16 16:00:00
16,17,0.0,2018-01-16 17:00:00
16,18,0.0,2018-01-16 18:00:00
16,19,0.0,2018-01-16 19:00:00
16,20,0.0,2018-01-16 20:00:00
16,21,0.0,2018-01-16 21:00:00
16,22,0.0,2018-01-16 22:00:00
16,23,0.0,2018-01-16 23:00:00
17,0,0.0,2018-01-17 00:00:00
17,1,0.0,2018-01-17 01:00:00
17,2,0.0,2018-01-17 02:00:00
17,3,0.0,2018-01-17 03:00:00
17,4,0.0,2018-01-17 04:00:00
17,5,0.0,2018-01-17 05:00:00
17,6,66423.2,2018-01-17 06:00:00
17,7,82142.2,2018-01-17 07:00:00
17,8,78533.3,2018-01-17 08:00:00
